Juridisk navn,Adresse,Kommune,Startdato,Antal ansatte,Størrelse,Selskabsform,CVR-nr,Selskabskapital,Bruttofortjeneste,Valuta,År for beregning,Kunde,Coating kunde,NACE-2,"Fremstilling af sæbe, rengørings- og rensemidler samt poleremidler",Fremstilling af andre organiske basiskemikalier,"Fremstilling af parfume, hårshampoo, tandpasta mv.",Fremstilling af andre kemiske produkter i.a.n.,Fremstilling af plast i ubearbejdet form,Fremstilling af gødningsstoffer og nitrogenprodukter,"Fremstilling af maling, lak og lignende overfladebehandlingsmidler, trykfarver samt tætningsmaterialer",Fremstilling af industrigasser,"Fremstilling af pesticider, desinfektionsmidler og andre agrokemiske produkter",Fremstilling af kemofibre,Fremstilling af andre uorganiske basiskemikalier,Fremstilling af farvestoffer og pigmenter,Fremstilling af flydende biobrændstoffer
BRENNTAG NORDIC A/S,"Borupvang 5 B, 2750 Ballerup",Ballerup,22.10.1999,138.0,Mellemstor,Aktieselskab,24994589,6.206,295067000.0,DKK,2023.0,0,0,20,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Skovgaard Energy A/S,"Havnen 66, 7620 Lemvig",Lemvig,07.10.1999,37.0,Lille,Aktieselskab,24205371,400.0,-12447000.0,DKK,2023.0,0,0,20,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KUNSTSTOF-KEMI. SKANDINAVIA A/S,"Ringvejen 70, 7900 Nykøbing M",Morsø,27.10.1972,83.0,Mellemstor,Aktieselskab,46198816,600.0,76319000.0,DKK,2024.0,0,0,20,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
DAKA ECOMOTION A/S,"Lundagervej 21, 8722 Hedensted",Hedensted,01.01.2009,Ikke oplyst,Ikke oplyst,Aktieselskab,31934095,600.0,30814000.0,DKK,2023.0,0,0,20,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
MIRA BYGGEPRODUKTER A/S,"Egegårdsvej 2, 4621 Gadstrup",Roskilde,06.03.1959,48.0,Lille,Aktieselskab,39581914,3.146,29712000.0,DKK,2024.0,0,0,20,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
KULTUR Holding ApS,"Ahornvej 15, 8240 Risskov",Århus,16.03.2018,Ikke oplyst,Ikke oplyst,Anpartsselskab,39439816,110.0,-6000.0,DKK,2024.0,0,0,20,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SAMSON ENVIRO INDUSTRIES ApS,"Hjortevænget 83, 2880 Bagsværd",Gladsaxe,12.03.2008,1.0,Mikro,Anpartsselskab,31327164,125.0,1171000.0,DKK,2023.0,0,0,20,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nikotino ApS,"Næsbyvej 64, 9681 Ranum",Vesthimmerland,12.09.2016,Ikke oplyst,Ikke oplyst,Anpartsselskab,38035525,50.0,64000.0,DKK,2023.0,0,0,20,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AIR LIQUIDE DANMARK A/S,"Uraniavej 6, 8700 Horsens",Horsens,23.11.1962,167.0,Mellemstor,Aktieselskab,15036117,44.0,194515000.0,DKK,2023.0,0,0,20,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Strandmøllen CO2 A/S,"Strandvejen 895, 2930 Klampenborg",Lyngby-Taarbæk,15.04.2004,1.0,Mikro,Aktieselskab,27691374,1.1,4177000.0,DKK,2023.0,0,0,20,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Floorcoat Oils & Colours ApS,"Egestubben 4 C, 5270 Odense N",Odense,19.10.2022,Ikke oplyst,Ikke oplyst,Anpartsselskab,43593714,40.0,207000.0,DKK,2023.0,0,0,20,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
PH PLASTIC RECYCLING ApS,"Huginsvej 22, 4100 Ringsted",Ringsted,31.03.2022,20.0,Lille,Anpartsselskab,43166131,80.0,6163000.0,DKK,2023.0,0,0,20,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kant Cosmetics ApS,"Amaliegade 16 C 1, 1256 København K",København,24.01.2023,Ikke oplyst,Ikke oplyst,Anpartsselskab,43802607,40.0,57000.0,DKK,2023.0,0,0,20,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DAN GØDNING A/S,"Møllebugtvej 9, 7000 Fredericia",Fredericia,01.10.1989,17.0,Lille,Aktieselskab,13495173,14.675,6084000.0,DKK,2024.0,0,0,20,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENH CHEMICALS ApS,"Jellingvej 15, 9230 Svenstrup J",Aalborg,25.09.1990,Ikke oplyst,Ikke oplyst,Anpartsselskab,14529195,200.0,33000.0,DKK,2024.0,0,0,20,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aalborg Bio Gødning ApS,"Vandetvej 8, 7700 Thisted",Thisted,11.11.2021,Ikke oplyst,Ikke oplyst,Anpartsselskab,42830054,40.0,-2000.0,DKK,2024.0,0,0,20,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NORDIC Cosmetics Production ApS,"Hørskætten 6 A st tv, 2630 Taastrup",Høje-Taastrup,26.11.2020,Ikke oplyst,Ikke oplyst,Anpartsselskab,41888806,40.0,30000.0,DKK,2023.0,0,0,20,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Redivivus Polymers ApS,"Vesterbro 67, 8970 Havndal",Randers,01.10.2019,2.0,Mikro,Anpartsselskab,40829083,900.0,508000.0,DKK,2024.0,0,0,20,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Neuprozyme Therapeutics ApS,"Agern Alle 3, 2970 Hørsholm",Hørsholm,19.09.2018,Ikke oplyst,Ikke oplyst,Anpartsselskab,40010106,50.0,-27000.0,DKK,2024.0,0,0,20,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DERMA PHARM A/S,"Europavej 10, 8990 Fårup",Randers,22.02.1980,140.0,Mellemstor,Aktieselskab,89453119,1.0,106271000.0,DKK,2024.0,0,0,20,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kementec Solutions A/S,"Kuldyssen 10, 2630 Taastrup",Høje-Taastrup,18.12.2000,22.0,Lille,Aktieselskab,25806735,500.0,21125000.0,DKK,2023.0,0,0,20,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ULTRAGLOZZ CO. ApS,"Ekenæsvej 1, 2850 Nærum",Rudersdal,27.12.2004,Ikke oplyst,Ikke oplyst,Anpartsselskab,28308221,125.0,1427000.0,DKK,2023.0,0,0,20,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Raz Skincare ApS,"Amagertorv 27 2, 1160 København K",København,31.01.2014,10.0,Lille,Anpartsselskab,35653074,50.0,4298000.0,DKK,2023.0,0,0,20,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Soap Nordic A/S,"Viborgvej 13, 4800 Nykøbing F",Guldborgsund,10.11.2004,41.0,Lille,Aktieselskab,28153635,500.0,19165000.0,DKK,2023.0,0,0,20,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Danfuel ApS,"Venusvej 24, 6000 Kolding",Kolding,15.03.2016,Ikke oplyst,Ikke oplyst,Anpartsselskab,37538833,50.0,-10000.0,DKK,2023.0,0,0,20,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PROTOX ApS,"Fabriksvej 19, 6000 Kolding",Kolding,05.07.2002,15.0,Lille,Anpartsselskab,26689228,125.0,15607000.0,DKK,2024.0,0,0,20,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
URTEGAARDEN ApS,"Aldershvilevej 1, 8961 Allingåbro",Norddjurs,19.12.1989,11.0,Lille,Anpartsselskab,13712506,200.0,8757000.0,DKK,2024.0,0,0,20,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FYNS COATING ApS,"Gemalvej 15, 5771 Stenstrup",Svendborg,12.09.1996,18.0,Lille,Anpartsselskab,19496198,200.0,18279000.0,DKK,2024.0,0,0,20,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
HK KONCEPT OG PRODUKT ApS,"Amaliegade 42 st, 1256 København K",København,07.07.2013,12.0,Lille,Anpartsselskab,35399852,80.0,-42923000.0,DKK,2023.0,0,0,20,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bollerup Jensen Adhesives ApS,"Bindesbølvej 16-20, 6880 Tarm",Ringkøbing-Skjern,22.12.2011,Ikke oplyst,Ikke oplyst,Anpartsselskab,34091498,4.1,-3043000.0,DKK,2023.0,0,0,20,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
UNIZYME LABORATORIES A/S,"Agern Alle 3, 2970 Hørsholm",Hørsholm,01.01.1990,2.0,Mikro,Aktieselskab,13917094,500.0,-406000.0,DKK,2024.0,0,0,20,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AEROPAK A/S,"Aldumvej 1, 8722 Hedensted",Hedensted,01.01.1974,27.0,Lille,Aktieselskab,46500911,500.0,24539000.0,DKK,2023.0,0,0,20,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Boë Beauté ApS,"Raffinaderivej 8 B, 2300 København S",København,30.11.2016,Ikke oplyst,Ikke oplyst,Anpartsselskab,38220489,58.0,83000.0,DKK,2023.0,0,0,20,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NORDCOLL A/S,"Egeskovvej 12, 3490 Kvistgård",Helsingør,01.10.1989,13.0,Lille,Aktieselskab,13596433,36.0,6236000.0,DKK,2023.0,0,0,20,,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Nordic Sense A/S,"Mads Clausens Vej 1, 8600 Silkeborg",Silkeborg,01.08.1988,65.0,Mellemstor,Aktieselskab,12376839,556.0,32537000.0,DKK,2024.0,0,0,20,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MAYKKER Products ApS,"Sct Anna Gade 69 C, 3000 Helsingør",Helsingør,15.08.2019,Ikke oplyst,Ikke oplyst,Anpartsselskab,40716548,40.0,245000.0,DKK,2023.0,0,0,20,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Yuaia Haircare ApS,"Hedeparken 14, 7870 Roslev",Skive,08.04.2021,7.0,Mikro,Anpartsselskab,42287520,100.0,778000.0,DKK,2023.0,0,0,20,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NOPA NORDIC A/S,"Finn Thostrup Engen 1, 9500 Hobro",Mariagerfjord,29.12.1972,254.0,Stor,Aktieselskab,42559210,599.0,205748000.0,DKK,2024.0,0,0,20,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LJUNGDAHL A/S,"Hejrevang 22, 3450 Allerød",Allerød,28.10.1972,15.0,Lille,Aktieselskab,42421618,1.2,12764000.0,DKK,2023.0,0,0,20,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
LGC Biosearch Technologies A/S,"Sønderskovvej 5, 8520 Lystrup",Århus,01.12.2012,44.0,Lille,Aktieselskab,34884900,500.0,46253000.0,DKK,2024.0,0,0,20,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Linolie & Pigment A/S,"Øsbygade 46 A, 6100 Haderslev",Haderslev,20.02.2020,14.0,Lille,Aktieselskab,41189932,500.0,6847000.0,DKK,2024.0,0,0,20,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Retrawl ApS,"Gammel Landevej 1-3, 7620 Lemvig",Lemvig,12.07.2016,Ikke oplyst,Ikke oplyst,Anpartsselskab,37870994,50.0,126000.0,DKK,2023.0,0,0,20,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ILKA ApS,"Ny Mårumvej 89, 3230 Græsted",Gribskov,20.09.1985,Ikke oplyst,Ikke oplyst,Anpartsselskab,79154814,200.0,2390000.0,DKK,2023.0,0,0,20,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Grolman Nordic Specialty Chemicals ApS,"Skæringvej 88, 8520 Lystrup",Århus,21.12.2017,5.0,Mikro,Anpartsselskab,39201569,50.0,5018000.0,DKK,2023.0,0,0,20,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AAGE VESTERGAARD LARSEN A/S,"Klostermarken 3, 9550 Mariager",Mariagerfjord,06.12.1976,61.0,Mellemstor,Aktieselskab,34228914,500.0,38561000.0,DKK,2023.0,1,1,20,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PALSGAARD A/S,"Palsgaardvej 10, 7130 Juelsminde",Hedensted,04.02.2002,370.0,Stor,Aktieselskab,26447038,50.0,405182000.0,DKK,2023.0,0,0,20,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kemi-Tech ApS,"Mosetoften 14, 8722 Hedensted",Hedensted,18.12.2013,18.0,Lille,Anpartsselskab,25659309,80.0,26562000.0,DKK,2023.0,0,0,20,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
AGO ApS,"Sir Lyngbjergvej 2, 7500 Holstebro",Holstebro,23.01.2019,1.0,Mikro,Anpartsselskab,40196811,50.0,1086000.0,DKK,2024.0,0,0,20,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rubio Monocoat Denmark ApS,"Østre Alle 6, 9530 Støvring",Rebild,27.11.2017,3.0,Mikro,Anpartsselskab,39120372,50.0,55000.0,DKK,2023.0,0,0,20,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
ISANGS ApS,"Flensborggade 22 kl th, 1669 København V",København,10.09.2014,4.0,Mikro,Anpartsselskab,35893520,50.0,884000.0,DKK,2023.0,0,0,20,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pedersen`s Laboratorium ApS,"Jens Grøns Vej 17, 7100 Vejle",Vejle,15.06.2015,10.0,Lille,Anpartsselskab,36924098,100.0,5095000.0,DKK,2023.0,0,0,20,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PERSANO GROUP A/S,"Skaaremosevej 11-14, 3230 Græsted",Gribskov,21.07.1936,185.0,Mellemstor,Aktieselskab,56000828,6.0,99080000.0,DKK,2023.0,0,0,20,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KJ RePlast ApS,"Hjulmagervej 1, 9320 Hjallerup",Brønderslev-Dronninglund,06.01.2021,2.0,Mikro,Anpartsselskab,41998326,40.0,-1093000.0,DKK,2023.0,0,0,20,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KNUD E. DAN A/S,"Lunikvej 40, 2670 Greve",Greve,02.01.1997,17.0,Lille,Aktieselskab,19655172,510.0,10182000.0,DKK,2024.0,0,0,20,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FAABORG PHARMA A/S,"Markedspladsen 13 A 1, 5600 Faaborg",Faaborg-Midtfyn,15.08.2001,19.0,Lille,Aktieselskab,26190770,1.0,10602000.0,DKK,2023.0,0,0,20,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Apoteksbloggers ApS,"Lergravsvej 70 st tv, 2300 København S",København,28.02.2019,Ikke oplyst,Ikke oplyst,Anpartsselskab,40324577,40.0,97000.0,DKK,2024.0,0,0,20,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
United Group Manufacturing A/S,"Ferrarivej 12, 7100 Vejle",Vejle,27.10.2020,41.0,Lille,Aktieselskab,41796979,500.0,11452000.0,DKK,2023.0,0,0,20,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JS Kar Reparationer ApS,"Grønnegade 14, 6700 Esbjerg",Esbjerg,16.02.2016,2.0,Mikro,Anpartsselskab,37454621,40.0,581000.0,DKK,2024.0,0,0,20,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Skøn Skincare ApS,"Bakkegårdsvej 202 F, 3050 Humlebæk",Fredensborg,22.06.2021,6.0,Mikro,Anpartsselskab,42483907,40.0,1238000.0,DKK,2023.0,0,0,20,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DNA DIAGNOSTIC A/S,"Voldbjergvej 14 1, 8240 Risskov",Århus,18.07.1980,14.0,Lille,Aktieselskab,66119815,6.933,14358000.0,DKK,2024.0,0,0,20,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CleanWorks ApS,"Pilestræde 58 6, 1112 København K",København,25.04.2020,Ikke oplyst,Ikke oplyst,Anpartsselskab,41336846,40.0,-15000.0,DKK,2024.0,0,0,20,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NorFalk ApS,"Voldbjergvej 16 st th, 8240 Risskov",Århus,01.02.2022,10.0,Lille,Anpartsselskab,43023233,40.0,-795000.0,DKK,2023.0,0,0,20,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GLUDAN GRUPPEN A/S,"Gothersgade 103 A, 1123 København K",København,21.12.2006,5.0,Mikro,Aktieselskab,29804621,500.0,12168000.0,DKK,2024.0,0,0,20,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
House of Cosmetics ApS,"Olaf Ryes Gade 7 N 1, 6000 Kolding",Kolding,18.05.2022,5.0,Mikro,Anpartsselskab,43270338,40.0,3462000.0,DKK,2023.0,0,0,20,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OMNICON A/S,"Stødagervej 6, 6400 Sønderborg",Sønderborg,01.09.1994,30.0,Lille,Aktieselskab,18034409,500.0,50956000.0,DKK,2023.0,0,0,20,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Logic Skincare ApS,"Pilevænget 1, 2800 Kongens Lyngby",Lyngby-Taarbæk,30.05.2021,Ikke oplyst,Ikke oplyst,Anpartsselskab,42427993,40.0,-80000.0,DKK,2023.0,0,0,20,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NORDALIM A/S,"Samoavej 1, 8000 Aarhus C",Århus,18.03.1971,13.0,Lille,Aktieselskab,32242715,7.2,12885000.0,DKK,2023.0,0,0,20,,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wellington Natural Care ApS,"Lysalleen 564 st th, 4000 Roskilde",Roskilde,23.09.2019,1.0,Mikro,Anpartsselskab,40806970,40.0,-4000.0,DKK,2023.0,0,0,20,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Interstyle ApS,"Kalvebod Brygge 39 5, 1560 København V",København,17.08.2022,Ikke oplyst,Ikke oplyst,Anpartsselskab,43454730,40.0,-97000.0,DKK,2023.0,0,0,20,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Green Fertilizer Denmark ApS,"Ballesvej 2, 7000 Fredericia",Fredericia,28.12.2022,Ikke oplyst,Ikke oplyst,Anpartsselskab,43739921,160.0,-4719000.0,DKK,2023.0,0,0,20,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Haack Rengøring ApS,"Eskilstrup Vestergade 20, 4863 Eskilstrup",Guldborgsund,27.04.2020,4.0,Mikro,Anpartsselskab,41319143,40.0,851000.0,DKK,2023.0,0,0,20,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRO-GLUE A/S,"Naurbjergvej 1, 4623 Lille Skensved",Køge,18.12.1969,11.0,Lille,Aktieselskab,11714218,1.0,15886000.0,DKK,2024.0,0,0,20,,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PLASTIX A/S,"Gammel Landevej 3, 7620 Lemvig",Lemvig,06.12.2012,25.0,Lille,Aktieselskab,34880646,68.243,9067000.0,DKK,2023.0,1,1,20,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TEKNOS A/S,"Industrivej 19, 6580 Vamdrup",Kolding,01.12.1978,171.0,Mellemstor,Aktieselskab,85551612,85.0,109436000.0,DKK,2023.0,0,0,20,,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
VILOFOSS A/S,"Ballesvej 2, 7000 Fredericia",Fredericia,01.02.1990,135.0,Mellemstor,Aktieselskab,82776214,150.001,108659000.0,DKK,2023.0,0,0,20,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EFApaint A/S,"Energivej 13, 6700 Esbjerg",Esbjerg,28.11.1991,40.0,Lille,Aktieselskab,15723572,6.0,19129000.0,DKK,2024.0,0,0,20,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Fausol Productions A/S,"Industrivej 3 A, 4632 Bjæverskov",Køge,23.08.2016,3.0,Mikro,Aktieselskab,37951242,500.0,1698000.0,DKK,2024.0,0,0,20,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SKAN-MEDIC ApS,"Adelgade 27, 8660 Skanderborg",Skanderborg,10.01.1982,4.0,Mikro,Anpartsselskab,89890411,200.0,2359000.0,DKK,2024.0,0,0,20,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FARVEKOMPAGNIET GRANAT ApS,"Møllebækvej 86, 9800 Hjørring",Hjørring,01.10.1998,1.0,Mikro,Anpartsselskab,21239534,125.0,247000.0,DKK,2023.0,0,0,20,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
BURNBLOCK ApS,"Wilders Plads 15 C, 1403 København K",København,24.03.2011,7.0,Mikro,Anpartsselskab,33581173,10.0,4776000.0,DKK,2023.0,0,0,20,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Karlsson Green ApS,"Onsgårds Tværvej 6 kl, 2900 Hellerup",Gentofte,01.04.2009,Ikke oplyst,Ikke oplyst,Anpartsselskab,32095704,350.0,,nan,2024.0,0,0,20,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Uldgødning Danmark ApS,"Holmedal 25, 8660 Skanderborg",Skanderborg,01.10.2021,Ikke oplyst,Ikke oplyst,Anpartsselskab,42722839,40.0,12000.0,DKK,2024.0,0,0,20,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BLONDE LERUP ApS,"Janumvej 161, 9460 Brovst",Jammerbugt,23.11.1987,Ikke oplyst,Ikke oplyst,Anpartsselskab,11781004,125.0,-13000.0,DKK,2023.0,0,0,20,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DanBroiler A/S,"Frisbækvej 5, 8766 Nørre Snede",Ikast-Brande,01.02.1990,4.0,Mikro,Aktieselskab,13896801,502.0,8634000.0,DKK,2023.0,0,0,20,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AKTIESELSKABET AF 1. JANUAR 1987,"Borupvang 5 B, 2750 Ballerup",Ballerup,05.02.1935,Ikke oplyst,Ikke oplyst,Aktieselskab,14762612,1.0,-95000.0,DKK,2023.0,0,0,20,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
