Juridisk navn,Adresse,Kommune,Startdato,Antal ansatte,Størrelse,Selskabsform,CVR-nr,Selskabskapital,Bruttofortjeneste,Valuta,År for beregning,Kunde,Coating kunde,NACE-2,Fremstilling af karosserier til motorkøretøjer; fremstilling af påhængsvogne og sættevogne,Fremstilling af andre dele og tilbehør til motorkøretøjer,Fremstilling af motorkøretøjer,Fremstilling af elektrisk og elektronisk udstyr til motorkøretøjer
BST Group ApS,"Vasebækvej 30, 4600 Køge",Køge,07.12.2022,1.0,Mikro,Anpartsselskab,43700243,40.0,387000.0,DKK,2023.0,0,0,29,,0.0,0.0,1.0
BRANDE VOGNFABRIK ApS,"Lillebælt 3, 7330 Brande",Ikast-Brande,14.02.2013,18.0,Lille,Anpartsselskab,35041869,80.0,8649000.0,DKK,2024.0,0,0,29,,0.0,1.0,0.0
JB - TRAILER ApS,"Nøddekærvej 5 B, 4672 Klippinge",Stevns,24.06.2013,1.0,Mikro,Anpartsselskab,35382720,80.0,358000.0,DKK,2023.0,0,0,29,1.0,0.0,0.0,0.0
DANSK ANHÆNGERTRÆK GDW A/S,"Gejlhavegård 4, 6000 Kolding",Kolding,11.04.2001,5.0,Mikro,Aktieselskab,25996496,500.0,2775000.0,DKK,2024.0,0,0,29,,1.0,0.0,0.0
J.K.L. TEKNIK A/S,"Thurøvej 7, 9500 Hobro",Mariagerfjord,20.12.2001,12.0,Lille,Aktieselskab,26379709,500.0,7459000.0,DKK,2024.0,0,0,29,,0.0,1.0,0.0
BOX NORDIC ApS,"Amtsvejen 3, 7200 Grindsted",Billund,12.04.2012,10.0,Lille,Anpartsselskab,34473560,80.0,5520000.0,DKK,2023.0,0,0,29,,1.0,0.0,0.0
Viborg knoppen ApS,"Svanevej 47, 8831 Løgstrup",Viborg,27.01.2017,Ikke oplyst,Ikke oplyst,Anpartsselskab,38373676,50.0,-3000.0,DKK,2024.0,0,0,29,,1.0,0.0,0.0
LYNX ApS,"Julsøvej 23, 8600 Silkeborg",Silkeborg,01.07.2009,1.0,Mikro,Anpartsselskab,32282806,125.0,-226000.0,DKK,2023.0,0,0,29,,0.0,1.0,0.0
DANSK BILINVENTAR A/S,"Industribuen 9, 5592 Ejby",Middelfart,27.06.2002,38.0,Lille,Aktieselskab,10085551,600.0,31727000.0,DKK,2023.0,0,0,29,1.0,0.0,0.0,0.0
SCANTEC A/S GESTEN,"Kirkevej 10, 6621 Gesten",Vejen,19.06.1996,2.0,Mikro,Aktieselskab,19344878,500.0,1274000.0,DKK,2024.0,0,0,29,,1.0,0.0,0.0
T.J. KARROSSERI A/S,"Brogrenen 6, 2635 Ishøj",Ishøj,20.06.1997,8.0,Mikro,Aktieselskab,20190531,500.0,4227000.0,DKK,2023.0,0,0,29,,1.0,0.0,0.0
MTDK A/S,"Engelsholmvej 27 B, 8940 Randers SV",Randers,21.03.2005,28.0,Lille,Aktieselskab,28513372,556.0,18796000.0,DKK,2023.0,0,0,29,1.0,0.0,0.0,0.0
CLEAN CITY CARGO CONCEPT ApS,"Kærup Parkvej 11-13, 4100 Ringsted",Ringsted,23.10.2013,Ikke oplyst,Ikke oplyst,Anpartsselskab,35523308,80.0,-13000.0,DKK,2023.0,0,0,29,1.0,0.0,0.0,0.0
C-PARTS ApS,"Timsgyden 7, 5466 Asperup",Middelfart,11.02.2005,1.0,Mikro,Anpartsselskab,28486774,125.0,86000.0,DKK,2023.0,0,0,29,,1.0,0.0,0.0
