Juridisk navn,Adresse,Kommune,Startdato,Antal ansatte,Størrelse,Selskabsform,CVR-nr,Selskabskapital,Bruttofortjeneste,Valuta,År for beregning,Kunde,Coating kunde,NACE-2,Forarbejdning og færdigbearbejdning af træ,Udsavning og høvling af træ,Fremstilling af bygningstømmer og snedkeriartikler i øvrigt,"Fremstilling af andre trævarer og varer af kork, strå og flettematerialer",Fremstilling af døre og vinduer af træ,Færdigbearbejdning af trævarer,Fremstilling af sammensatte parketstave,Fremstilling af fast brændsel på basis af vegetabilsk biomasse,Fremstilling af træemballage,Fremstilling af finerplader og træbaserede plader
SANDER BYGGE OG MONTAGE ApS,"Kærvej 4 F, 8700 Horsens",Horsens,11.03.2014,Ikke oplyst,Ikke oplyst,Anpartsselskab,35681299,50.0,305000.0,DKK,2023.0,0,0,16,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SpaceDome EU ApS,"Herningvej 68, 7540 Haderup",Herning,21.08.2020,Ikke oplyst,Ikke oplyst,Anpartsselskab,41610905,40.0,-22000.0,DKK,2023.0,0,0,16,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BambooX ApS,"Strandkvanen 10 F 1 6, 4600 Køge",Køge,19.09.2022,Ikke oplyst,Ikke oplyst,Anpartsselskab,43528823,40.0,27000.0,DKK,2024.0,0,0,16,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
PA Kunst og Design ApS,"Højvang 16, 9530 Støvring",Rebild,30.09.2020,1.0,Mikro,Anpartsselskab,41741597,40.0,9000.0,DKK,2024.0,0,0,16,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
WIKING GULVE A/S,"Hesthøjvej 16, 7870 Roslev",Skive,28.06.2012,24.0,Lille,Aktieselskab,32323995,500.0,12532000.0,DKK,2024.0,0,0,16,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
KG List ApS,"Vejlsøvej 51, 8600 Silkeborg",Silkeborg,04.12.2019,1.0,Mikro,Anpartsselskab,40991670,40.0,1389000.0,DKK,2023.0,0,0,16,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SGS Media ApS,"Vægterparken 210, 2770 Kastrup",Tårnby,23.06.2017,1.0,Mikro,Anpartsselskab,38737708,50.0,207000.0,DKK,2024.0,0,0,16,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
NYGAARD TRADING ApS,"Hejdesvej 3 D, 4100 Ringsted",Ringsted,30.06.1975,1.0,Mikro,Anpartsselskab,24245446,200.0,245000.0,DKK,2024.0,0,0,16,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Stråsø Savværk ApS,"Industriarealet 2, 6990 Ulfborg",Holstebro,20.07.2015,3.0,Mikro,Anpartsselskab,36968036,40.0,517000.0,DKK,2024.0,0,0,16,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LISTEFABRIKKEN I. C. A/S,"Industrivej 4, 9881 Bindslev",Hjørring,01.02.1989,9.0,Mikro,Aktieselskab,12829574,700.0,6996000.0,DKK,2023.0,0,0,16,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
J.P.J. TRÆEMBALLAGE ApS,"Norgesvej 5, 9560 Hadsund",Mariagerfjord,22.05.1997,7.0,Mikro,Anpartsselskab,20046643,500.0,8676000.0,DKK,2023.0,0,0,16,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Kloster-Pillen ApS,"Klostergade 2, 7770 Vestervig",Thisted,26.06.2023,Ikke oplyst,Ikke oplyst,Anpartsselskab,44142708,40.0,643000.0,DKK,2024.0,0,0,16,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
LOCA ApS,"Islandsgade 18, 4690 Haslev",Faxe,15.02.1987,7.0,Mikro,Anpartsselskab,10647533,500.0,3059000.0,DKK,2024.0,0,0,16,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
VELUX A/S,"Ådalsvej 99, 2970 Hørsholm",Hørsholm,26.06.1970,1545.0,Stor,Aktieselskab,30003519,110.0,1328000000.0,DKK,2024.0,1,1,16,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
DANSK TRÆEMBALLAGE A/S,"Banevej 3, 5600 Faaborg",Faaborg-Midtfyn,21.12.1987,428.0,Stor,Aktieselskab,11826687,20.0,176060000.0,DKK,2023.0,1,0,16,,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
Hornsyld Træbriketter ApS,"Industrivænget 11, 8783 Hornsyld",Hedensted,24.06.2019,1.0,Mikro,Anpartsselskab,40603131,300.0,-453000.0,DKK,2023.0,0,0,16,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Spa og Sauna ApS,"Hingebjergvej 11, 7500 Holstebro",Holstebro,18.02.2019,1.0,Mikro,Anpartsselskab,40269630,50.0,338000.0,DKK,2024.0,0,0,16,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NORDIC WOODFIBRE A/S,"Industrivej 16, 4652 Hårlev",Stevns,13.01.1988,11.0,Lille,Aktieselskab,11938132,2.95,11425000.0,DKK,2024.0,0,0,16,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Unwasted ApS,"Marienlystvej 53, 7800 Skive",Skive,03.11.2021,1.0,Mikro,Anpartsselskab,42806242,40.0,-138000.0,DKK,2024.0,0,0,16,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
TOPPENBERG H.O.K. A/S,"Sundsholmen 9, 9400 Nørresundby",Aalborg,01.07.1986,62.0,Mellemstor,Aktieselskab,10323002,500.0,31514000.0,DKK,2024.0,0,0,16,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
LACUNA A/S,"Industrivej 2, 5550 Langeskov",Kerteminde,08.06.2007,21.0,Lille,Aktieselskab,30545249,1.673,13647000.0,DKK,2023.0,0,0,16,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
SHELTERBYG ApS,"Teglværksvej 3, 7540 Haderup",Herning,02.07.2008,4.0,Mikro,Anpartsselskab,31593425,125.0,3399000.0,DKK,2024.0,0,0,16,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HL 2025 ApS,"Nydamsvej 12 B, 8362 Hørning",Skanderborg,15.05.1975,3.0,Mikro,Anpartsselskab,53913415,200.0,924000.0,DKK,2023.0,0,0,16,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BrugStammen ApS,"Højvejen 36, 3120 Dronningmølle",Gribskov,20.09.2022,Ikke oplyst,Ikke oplyst,Anpartsselskab,43525298,40.0,12000.0,DKK,2023.0,0,0,16,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KD HARDWOOD ApS,"Selkærvej 24, 8585 Glesborg",Norddjurs,19.12.2006,1.0,Mikro,Anpartsselskab,29827303,125.0,20000.0,DKK,2024.0,0,0,16,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nordiccraft ApS,"Farvervej 39, 8800 Viborg",Viborg,26.09.2022,Ikke oplyst,Ikke oplyst,Anpartsselskab,43561227,40.0,-160000.0,DKK,2023.0,0,0,16,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
SYDFYNS TRÆLEGETØJ ApS,"Reventlowsgade 28 2 th, 1651 København V",København,08.06.2007,7.0,Mikro,Anpartsselskab,30606523,250.0,5034000.0,DKK,2023.0,0,0,16,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
HANS HENRIK PHILIPP ApS,"Kogsvej 64, 6780 Skærbæk",Tønder,07.12.2012,6.0,Mikro,Anpartsselskab,34886105,100.0,3019000.0,DKK,2023.0,0,0,16,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Mavind ApS,"Långawten 16, 8643 Ans By",Silkeborg,05.03.1998,1.0,Mikro,Anpartsselskab,20714492,51.0,185000.0,DKK,2023.0,0,0,16,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
REXCON system ApS,"Lundagervej 25 F, 8722 Hedensted",Hedensted,22.09.2016,1.0,Mikro,Anpartsselskab,38039040,92.0,-277000.0,DKK,2023.0,0,0,16,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Damgaards Tømrer & Snedker ApS,"Lundagervej 20, 6830 Nørre Nebel",Varde,12.02.2014,Ikke oplyst,Ikke oplyst,Anpartsselskab,35661735,50.0,-41000.0,DKK,2024.0,0,0,16,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FTM INC. ApS,"Holtevej 7, 4880 Nysted",Guldborgsund,24.03.1976,1.0,Mikro,Anpartsselskab,23134012,150.0,177000.0,DKK,2023.0,0,0,16,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
TØMRER- OG SNEDKERVÆRKSTEDET. LØSNING A/S,"Odinsvej 19, 8722 Hedensted",Hedensted,01.11.1987,20.0,Lille,Aktieselskab,11561942,500.0,12123000.0,DKK,2024.0,0,0,16,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
HERSKIND SAVVÆRK ApS,"Lyngballevej 15, 8464 Galten",Skanderborg,03.04.1992,33.0,Lille,Anpartsselskab,16012572,297.0,14347000.0,DKK,2024.0,1,0,16,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Thy Træelement ApS,"Fabriksvej 2, 7760 Hurup Thy",Thisted,12.12.2017,4.0,Mikro,Anpartsselskab,39174464,50.0,126000.0,DKK,2024.0,0,0,16,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Gudenå Savværk ApS,"Volshøjvej 25, 8850 Bjerringbro",Viborg,20.12.2021,Ikke oplyst,Ikke oplyst,Anpartsselskab,42922056,40.0,-102000.0,DKK,2023.0,0,0,16,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Vipo Vinduer A/S,"Haandværkervej 3, 7770 Vestervig",Thisted,29.03.1977,11.0,Lille,Aktieselskab,80529228,500.0,7205000.0,DKK,2024.0,0,0,16,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
SNEDKERIET STAGETORN ApS,"Vinkelvej 16, 3600 Frederikssund",Frederikssund,13.01.2015,8.0,Mikro,Anpartsselskab,36487720,50.0,2955000.0,DKK,2023.0,0,0,16,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mink & Fausing ApS,"Lundevej 17, 5882 Vejstrup",Svendborg,23.07.2020,Ikke oplyst,Ikke oplyst,Anpartsselskab,41553189,50.0,12000.0,DKK,2023.0,0,0,16,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
ROYAL WOOD ApS,"Skånevej 16, 9670 Løgstør",Vesthimmerland,07.08.2006,1.0,Mikro,Anpartsselskab,29770670,125.0,2842000.0,DKK,2023.0,0,0,16,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mas-Multiservice ApS,"Tårnbyhøj Alle 16, 2770 Kastrup",Tårnby,17.04.2018,1.0,Mikro,Anpartsselskab,39503581,50.0,286000.0,DKK,2023.0,0,0,16,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Svanekister ApS,"Togårdsvej 20, 4750 Lundby",Vordingborg,14.11.2023,14.0,Lille,Anpartsselskab,44439123,40.0,2137000.0,DKK,2024.0,0,0,16,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
JP RAMMER ApS,"Håndværkervej 8, 8643 Ans By",Silkeborg,21.10.2014,17.0,Lille,Anpartsselskab,36416106,50.0,2503000.0,DKK,2023.0,0,0,16,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
MALERFIRMA PER ISHØJ A/S,"Nøddevang 8, 3550 Slangerup",Frederikssund,30.09.1977,1.0,Mikro,Aktieselskab,83497610,500.0,227000.0,DKK,2023.0,0,0,16,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BRDR. KRüGER TRÆDREJERI A/S,"Walgerholm 20-22, 3500 Værløse",Furesø,21.06.2004,40.0,Lille,Aktieselskab,26988500,500.0,19212000.0,DKK,2023.0,0,0,16,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
MARITIME WOOD CRAFT ApS,"H C Christensensvej 2, 5960 Marstal",Ærø,15.04.2012,Ikke oplyst,Ikke oplyst,Anpartsselskab,34476896,1.0,-339000.0,DKK,2024.0,0,0,16,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bondeskovgaard Savværk ApS,"Hestehavevej 40, 4320 Lejre",Lejre,29.06.2023,9.0,Mikro,Anpartsselskab,44152312,40.0,4531000.0,DKK,2023.0,0,0,16,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kvik Sand ApS,"Cannerslundvej 9, 9490 Pandrup",Jammerbugt,07.12.2016,Ikke oplyst,Ikke oplyst,Anpartsselskab,38239147,50.0,125000.0,DKK,2024.0,0,0,16,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
DOORFLEX A/S,"Industriområdet 101, 8732 Hovedgård",Horsens,02.04.2019,13.0,Lille,Aktieselskab,40407545,500.0,9099000.0,DKK,2024.0,0,0,16,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Mjolnir ApS,"Stenildvadparken 38, 9600 Aars",Vesthimmerland,29.11.2021,4.0,Mikro,Anpartsselskab,42867594,40.0,260000.0,DKK,2023.0,0,0,16,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
FLEX MODUL A/S,"Parallelvej 5, 7830 Vinderup",Holstebro,01.07.1994,84.0,Mellemstor,Aktieselskab,17919075,2.063,-28533000.0,DKK,2024.0,0,0,16,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FLEXWOOD A/S,"Storstrømsvej 92, 4840 Nørre Alslev",Guldborgsund,10.03.1982,5.0,Mikro,Aktieselskab,89892619,1.0,3555000.0,DKK,2024.0,0,0,16,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
STIGSNÆS BIOPILLE FABRIK ApS,"Søborggårdsvej 70, 3250 Gilleleje",Gribskov,18.11.2010,Ikke oplyst,Ikke oplyst,Anpartsselskab,33267541,80.0,-52000.0,DKK,2023.0,0,0,16,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
RØ-HOLDING ApS,"Kirkeplads 4, 3770 Allinge",Bornholm,10.11.1999,4.0,Mikro,Anpartsselskab,25043308,125.0,1827000.0,DKK,2024.0,0,0,16,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KPK DØRE OG VINDUER A/S,"Rogalandsvej 3, 7900 Nykøbing M",Morsø,01.11.1991,241.0,Mellemstor,Aktieselskab,15646101,1.2,260392000.0,DKK,2023.0,0,0,16,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
HORN Vinduer og Døre ApS,"Brandshøjevej 3, 6430 Nordborg",Sønderborg,19.08.2015,1.0,Mikro,Anpartsselskab,37030856,40.0,,nan,2023.0,0,0,16,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
BØJSØ DØRE & VINDUER A/S,"Højagervej 5-7, 6623 Vorbasse",Billund,01.06.1988,46.0,Lille,Aktieselskab,12224494,504.0,17584000.0,DKK,2023.0,0,0,16,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Orebo savværk & møbelsnedkeri A/S,"Orebovej 15, 4295 Stenlille",Sorø,12.07.1989,17.0,Lille,Aktieselskab,13171238,400.0,5960000.0,DKK,2023.0,0,0,16,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
LØGSTRUP TRÆINDUSTRI ApS,"Hovedgaden 11, 8831 Løgstrup",Viborg,22.12.1999,16.0,Lille,Anpartsselskab,25161033,200.0,6723000.0,DKK,2024.0,0,0,16,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Atelier Hjorth - Rohde ApS,"Svanholmsvej 1 B, 1905 Frederiksberg C",Frederiksberg,22.02.2021,1.0,Mikro,Anpartsselskab,42149055,40.0,498000.0,DKK,2023.0,0,0,16,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Tune Listefabrik & Maskinsnedkeri ApS,"Metalvej 9, 4000 Roskilde",Roskilde,01.10.1991,3.0,Mikro,Anpartsselskab,15513632,125.0,1253000.0,DKK,2024.0,0,0,16,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Aarhus Lister ApS,"Forteledet 4, 8240 Risskov",Århus,21.01.2022,1.0,Mikro,Anpartsselskab,43002341,40.0,158000.0,DKK,2023.0,0,0,16,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ST. HJØLLUND ApS,"Lærkevej 4, 7362 Hampen",Silkeborg,29.08.1968,Ikke oplyst,Ikke oplyst,Anpartsselskab,63506117,125.0,114000.0,DKK,2024.0,0,0,16,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Solcellecarporte Danmark ApS,"Rue Hed 50, 5462 Morud",Nordfyns,25.01.2022,2.0,Mikro,Anpartsselskab,43007394,40.0,92000.0,DKK,2023.0,0,0,16,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IDÉ-DØREN A/S,"Højris Alle 85, 7430 Ikast",Ikast-Brande,14.10.1982,1.0,Mikro,Aktieselskab,69509819,600.0,565000.0,DKK,2023.0,0,0,16,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hansen Trædrejeri ApS,"Høsten Teglværksvej 2, 4690 Haslev",Faxe,30.03.2016,1.0,Mikro,Anpartsselskab,37576387,40.0,19000.0,DKK,2023.0,0,0,16,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
CMC HOLDING VEJLE A/S,"Brønsvigvej 3, 7120 Vejle Øst",Vejle,29.08.2005,Ikke oplyst,Ikke oplyst,Aktieselskab,27962823,500.0,-40000.0,DKK,2024.0,0,0,16,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
DANCONNECTION ApS,"Mortensensvej 30 B, 8963 Auning",Norddjurs,29.06.2001,Ikke oplyst,Ikke oplyst,Anpartsselskab,26145775,80.0,334000.0,DKK,2023.0,0,0,16,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
WOODCON A/S,"Løvevej 40, 8654 Bryrup",Silkeborg,01.11.2011,34.0,Lille,Aktieselskab,34044473,2.8,17163000.0,DKK,2024.0,0,0,16,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IDEALCOMBI A/S,"Nørre Alle 51, 7760 Hurup Thy",Thisted,09.10.1981,436.0,Stor,Aktieselskab,25829328,833.0,119475000.0,DKK,2024.0,0,0,16,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
TREHØJE DØRE A/S,"Fabriksvej 6, 6973 Ørnhøj",Herning,20.12.1985,88.0,Mellemstor,Aktieselskab,79045918,900.0,19688000.0,DKK,2024.0,0,0,16,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
LILLEHEDEN A/S,"Hovedvejen 114, 9850 Hirtshals",Hjørring,18.06.1930,76.0,Mellemstor,Aktieselskab,24077713,3.0,49601000.0,DKK,2023.0,0,0,16,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Danish Woodlands ApS,"Mariagervej 3, 9560 Hadsund",Mariagerfjord,03.11.2022,Ikke oplyst,Ikke oplyst,Anpartsselskab,43619071,100.0,-65000.0,DKK,2023.0,0,0,16,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TJELE TRÆEMBALLAGE ApS,"Skovgaardsvej 26 st 6, 8800 Viborg",Viborg,06.02.2011,Ikke oplyst,Ikke oplyst,Anpartsselskab,33497520,80.0,31000.0,DKK,2024.0,0,0,16,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
TRAPPEMANDEN ApS,"Slangerupvej 5, 3550 Slangerup",Frederikssund,12.12.2005,11.0,Lille,Anpartsselskab,29201188,125.0,5995000.0,DKK,2023.0,0,0,16,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FELDBORG SAVVÆRK & PALLEFABRIK A/S,"Teglværksvej 3, 7540 Haderup",Herning,22.06.2004,28.0,Lille,Aktieselskab,27919189,500.0,21696000.0,DKK,2023.0,0,0,16,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Hoei Denmark A/S,"Navervej 21, 8382 Hinnerup",Favrskov,22.08.2019,11.0,Lille,Aktieselskab,40736166,400.0,3770000.0,DKK,2024.0,0,0,16,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
DANISH MOULDING SERVICE A/S,"Tinghøjen 7, 7860 Spøttrup",Skive,26.02.2003,2.0,Mikro,Aktieselskab,27050387,500.0,1212000.0,DKK,2023.0,0,0,16,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
VESTERBY TRÆTEKNIK A/S,"Thorsvej 12-14, 6862 Tistrup",Varde,01.08.1988,20.0,Lille,Aktieselskab,12371330,6.0,15581000.0,DKK,2024.0,0,0,16,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
HERNING MASSIVTRÆ A/S,"Cedervej 6, 7400 Herning",Herning,14.06.2000,15.0,Lille,Aktieselskab,25449363,5.0,6671000.0,DKK,2024.0,0,0,16,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
QUINTUS ADMINISTRATION ApS,"Rørmoseparken 7, 3450 Allerød",Allerød,14.12.1982,Ikke oplyst,Ikke oplyst,Anpartsselskab,70033828,200.0,20000.0,DKK,2023.0,0,0,16,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Stege Skibs & Bådebyggeri ApS,"Gedservej 99, 4800 Nykøbing F",Guldborgsund,16.08.2018,10.0,Lille,Anpartsselskab,39790122,40.0,3179000.0,DKK,2023.0,0,0,16,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
' OVE RAABJERG LARSEN - TØMRER OG SNEDKER ApS ',"Marienlystvej 45, 7800 Skive",Skive,01.04.1991,1.0,Mikro,Anpartsselskab,15116676,200.0,-220000.0,DKK,2024.0,0,0,16,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PFP A/S,"Astrupvej 1, 8620 Kjellerup",Silkeborg,26.06.1985,70.0,Mellemstor,Aktieselskab,10010691,500.0,24781000.0,DKK,2023.0,0,0,16,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Datoselskabet af 7. januar 2025 A/S,"Himmerlandsvej 3, 9670 Løgstør",Vesthimmerland,12.12.2022,1.0,Mikro,Aktieselskab,43699687,500.0,-2369000.0,DKK,2023.0,0,0,16,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MR TRÆEMBALLAGE A/S,"Venusvej 3, 6000 Kolding",Kolding,16.12.1994,8.0,Mikro,Aktieselskab,18246937,500.0,4646000.0,DKK,2024.0,0,0,16,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
OUTRUP VINDUER & DØRE A/S,"Outrupstræde 31, 7900 Nykøbing M",Morsø,23.06.1983,187.0,Mellemstor,Aktieselskab,72381211,1.0,115554000.0,DKK,2023.0,0,0,16,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
MEGA OVERFLADE-TEKNIK ApS,"Bjergevej 31 B, 7280 Sønder Felding",Herning,01.01.1987,9.0,Mikro,Anpartsselskab,10661706,400.0,9883000.0,DKK,2024.0,0,0,16,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PLANET HUSE A/S,"Ørstedsvej 55-59, 6760 Ribe",Esbjerg,01.07.1990,44.0,Lille,Aktieselskab,14345507,10.0,27720000.0,DKK,2023.0,0,0,16,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HERNING FINERCENTRAL A/S,"Allingevej 2-4, 7400 Herning",Herning,26.02.2007,2.0,Mikro,Aktieselskab,30282140,500.0,541000.0,DKK,2024.0,0,0,16,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Silkeborg Skov- og Naturpleje ApS,"Slåenbakken 9, 8600 Silkeborg",Silkeborg,14.07.2021,2.0,Mikro,Anpartsselskab,42561797,40.0,1677000.0,DKK,2023.0,0,0,16,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DANA VINDUER A/S,"Industriparken 12, 7400 Herning",Herning,03.04.2009,27.0,Lille,Aktieselskab,32093450,1.5,15544000.0,DKK,2023.0,0,0,16,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
L. J. INVEST ApS,"Lærkevej 8, 7620 Lemvig",Lemvig,13.12.1984,Ikke oplyst,Ikke oplyst,Anpartsselskab,76624917,200.0,-33000.0,DKK,2023.0,0,0,16,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FINERGRUPPEN ApS,"Christianshedevej 32, 7441 Bording",Ikast-Brande,23.09.2004,3.0,Mikro,Anpartsselskab,28114028,125.0,1719000.0,DKK,2023.0,0,0,16,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
PT Emballage ApS,"Alsvænget 2, 7000 Fredericia",Fredericia,11.12.2020,1.0,Mikro,Anpartsselskab,41940565,40.0,1201000.0,DKK,2023.0,0,0,16,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Rundlins Byggefirma ApS,"Stenkløvervej 6, 8830 Tjele",Viborg,18.06.2019,1.0,Mikro,Anpartsselskab,40593055,40.0,766000.0,DKK,2024.0,0,0,16,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SAMM-SALL ApS,"Borupvej 1 A, 7330 Brande",Ikast-Brande,15.05.2002,4.0,Mikro,Anpartsselskab,26632544,125.0,3057000.0,DKK,2023.0,0,0,16,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BSA Norstech ApS,"Starupvej 225, 8340 Malling",Århus,10.11.2017,2.0,Mikro,Anpartsselskab,39085208,150.0,3516000.0,DKK,2023.0,1,0,16,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
QUATTRO HOUSE DENMARK ApS,"Råddamsvej 9, 4700 Næstved",Næstved,30.06.2006,4.0,Mikro,Anpartsselskab,29635722,300.0,4811000.0,DKK,2023.0,0,0,16,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DBP Engrosbiler ApS,"Holger Brodthagensvej 10, 4800 Nykøbing F",Guldborgsund,13.07.2010,Ikke oplyst,Ikke oplyst,Anpartsselskab,33064098,80.0,-35000.0,DKK,2024.0,0,0,16,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
DINESEN FLOORS A/S,"Klovtoftvej 2, 6630 Rødding",Vejen,05.03.1971,90.0,Mellemstor,Aktieselskab,33920717,501.0,64653000.0,DKK,2024.0,0,0,16,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
okbyg ApS,"Gyvelvej 12, 5560 Aarup",Assens,24.02.2022,3.0,Mikro,Anpartsselskab,43083155,40.0,568000.0,DKK,2023.0,0,0,16,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
