Juridisk navn,Adresse,Kommune,Startdato,Antal ansatte,Størrelse,Selskabsform,CVR-nr,Selskabskapital,Bruttofortjeneste,Valuta,År for beregning,Kunde,Coating kunde,NACE-2,"Fremstilling og bearbejdning af andet glas, herunder teknisk glas",Fremstilling af andre keramiske produkter,"Fremstilling af flasker, drikkeglas mv.",Fremstilling af keramiske husholdningsartikler og pyntegenstande,Fremstilling af byggematerialer af beton,Fremstilling af cement,Fremstilling af færdigblandet beton,Fremstilling af glasfiber,Fremstilling af keramiske teglsten og gulvfliser,"Fremstilling af andre produkter af beton, cement og gips",Fremstilling af asfalt og tagpap,"Fremstilling af mursten, teglsten og byggematerialer af brændt ler",Fremstilling af byggematerialer af gips,Fremstilling af keramiske isolatorer og isoleringsdele,Formning og forarbejdning af planglas,Fremstilling af ildfaste produkter,"Fremstilling af andre ikke-metalholdige mineralske produkter, bortset fra asfalt og tagpap",Fremstilling af keramiske sanitetsartikler,Fremstilling af kalk og gips,"Tilhugning, tilskæring og færdigbearbejdning af sten",Fremstilling af mørtel,Fremstilling af planglas,Fremstilling af slibemidler,Fremstilling af andre keramiske produkter til teknisk brug,Fremstilling af fibercement
VINDFAST ApS,"Erhvervsparken 22, 7160 Tørring",Hedensted,26.11.2007,14.0,Lille,Anpartsselskab,31073278,126.0,22418000.0,DKK,2023.0,0,0,23,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NORDIC WATERPROOFING A/S,"Vester Alle 1 A, 6600 Vejen",Vejen,13.11.2000,111.0,Mellemstor,Aktieselskab,25711785,8.0,174447000.0,DKK,2023.0,0,0,23,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
THISTED-FJERRITSLEV CEMENTVAREFABRIK A/S,"Stevnsvej 17, 7700 Thisted",Thisted,22.05.1975,178.0,Mellemstor,Aktieselskab,40749314,4.0,136577000.0,DKK,2023.0,0,0,23,,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KØGE STENHUGGERI ApS,"Glentevej 39, 4600 Køge",Køge,01.01.1999,3.0,Mikro,Anpartsselskab,21382248,125.0,3430000.0,DKK,2024.0,0,0,23,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
A/S GRAASTEN TEGLVÆRK,"Teglværksvej 14, 6300 Gråsten",Sønderborg,15.11.1963,13.0,Lille,Aktieselskab,40294619,6.178,15426000.0,DKK,2023.0,0,0,23,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Københavns Fliser & Natursten ApS,"Strandvejen 142 A st, 2900 Hellerup",Gentofte,16.06.2020,1.0,Mikro,Anpartsselskab,41436131,41.0,-3000.0,DKK,2023.0,0,0,23,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Uldall Design ApS,"Højderyggen 13, 7120 Vejle Øst",Vejle,21.08.2019,Ikke oplyst,Ikke oplyst,Anpartsselskab,40731822,40.0,,nan,2023.0,0,0,23,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WEWERS MØRTEL A/S,"Ny Mårumvej 222, 3230 Græsted",Gribskov,06.07.2005,13.0,Lille,Aktieselskab,28893949,1.0,7849000.0,DKK,2023.0,0,0,23,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Heidelberg Materials Beton Danmark A/S,"Fredensvej 40, 4100 Ringsted",Ringsted,29.11.2005,124.0,Mellemstor,Aktieselskab,29189137,43.83,118199000.0,DKK,2023.0,0,0,23,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VK. BETON OG BYGGEMARKED A/S,"Herningvej 47, 6950 Ringkøbing",Ringkøbing-Skjern,02.03.1981,21.0,Lille,Aktieselskab,81623813,500.0,13124000.0,DKK,2024.0,0,0,23,,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DS ELCOBYG A/S,"Hadsundvej 8, 9500 Hobro",Mariagerfjord,30.12.1971,230.0,Mellemstor,Aktieselskab,35982310,5.0,148452000.0,DKK,2024.0,0,0,23,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
