Juridisk navn,Adresse,Kommune,Startdato,Antal ansatte,Størrelse,Selskabsform,CVR-nr,Selskabskapital,Bruttofortjeneste,Valuta,År for beregning,Kunde,Coating kunde,NACE-2,Fremstilling af øvrige maskiner til specielle formål i.a.n.,Fremstilling af løfte- og håndteringsudstyr,Fremstilling af andre maskiner til generelle formål i.a.n.,"Fremstilling af motorer og turbiner, undtagen motorer til flyvemaskiner, motorkøretøjer og knallerter","Fremstilling af klimaanlæg, ikke til husholdningsbrug","Fremstilling af maskiner til føde-, drikke- og tobaksvareindustrien",Fremstilling af hydraulisk udstyr,Fremstilling af maskiner til råstofindvindingsindustrien samt bygge- og anlæg,Fremstilling af maskiner til produktion af plast og gummi,Fremstilling af metalforarbejdende maskiner og maskinværktøj til bearbejdning af metal,Fremstilling af landbrugs- og skovbrugsmaskiner,Fremstilling af motordrevet håndværktøj,Fremstilling af andet maskinværktøj,"Fremstilling af maskiner til produktion af tekstiler, beklædningsartikler og læder","Fremstilling af ovne, ildsteder og fyringsaggregater til boligopvarmning",Fremstilling af andre haner og ventiler,"Fremstilling af lejer, tandhjul, tandhjulsudvekslinger og drivelementer",Fremstilling af andre pumper og kompressorer,Fremstilling af maskiner til additiv fremstilling,Fremstilling af maskiner til produktion af papir og pap,"Fremstilling af kontormaskiner og -udstyr, undtagen computere og ydre enheder",Fremstilling af maskiner til metallurgi
Vestas Industrial Cooling ApS,"Smed Hansens Vej 13, 6940 Lem St",Ringkøbing-Skjern,06.05.2020,21.0,Lille,Anpartsselskab,41343842,100.0,9336000.0,DKK,2023.0,0,0,28,,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Coalescent Mobile Robotics ApS,"Sivlandvænget 3, 5260 Odense S",Odense,11.09.2018,8.0,Mikro,Anpartsselskab,39850265,69.0,-1836000.0,DKK,2023.0,0,0,28,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Teradyne Robotics A/S,"Energivej 51, 5260 Odense S",Odense,04.10.2005,860.0,Stor,Aktieselskab,29138060,700.0,804256000.0,DKK,2024.0,0,0,28,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Muthu Holding ApS,"Nellikevej 35, 5250 Odense SV",Odense,01.03.2017,Ikke oplyst,Ikke oplyst,Anpartsselskab,38453343,40.0,0.0,DKK,2023.0,0,0,28,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mette Nordahl ApS,"Tempelvej 7, 4390 Vipperød",Holbæk,01.07.2010,3.0,Mikro,Anpartsselskab,32302017,80.0,33000.0,DKK,2024.0,0,0,28,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
INGENIØRFIRMAET LYTZEN A/S,"Dynamovej 9, 2860 Søborg",Gladsaxe,01.08.1988,37.0,Lille,Aktieselskab,12381603,1.0,36520000.0,DKK,2023.0,0,0,28,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ELEKTROPAK CONSULT ApS,"Kærvej 9, 8544 Mørke",Syddjurs,12.08.1981,2.0,Mikro,Anpartsselskab,67216717,200.0,311000.0,DKK,2023.0,0,0,28,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHOCOMA ApS,"Havremarken 4, 3650 Ølstykke",Egedal,27.06.1985,3.0,Mikro,Anpartsselskab,78025719,200.0,1933000.0,DKK,2023.0,0,0,28,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KORSØR PROPELLER A/S,"Norvangen 12, 4220 Korsør",Slagelse,29.06.1970,10.0,Lille,Aktieselskab,28785410,600.0,4704000.0,DKK,2024.0,0,0,28,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PISTONPOWER ApS,"Østager 2, 6400 Sønderborg",Sønderborg,29.01.2015,Ikke oplyst,Ikke oplyst,Anpartsselskab,36502959,1.0,-195000.0,DKK,2023.0,0,0,28,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LS FLEXO ApS,"Vestergade 11 B, 5540 Ullerslev",Nyborg,10.08.2016,Ikke oplyst,Ikke oplyst,Anpartsselskab,37946567,50.0,46000.0,DKK,2023.0,0,0,28,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C.F. NIELSEN A/S,"Solbjergvej 19, 9574 Bælum",Rebild,21.12.1998,39.0,Lille,Aktieselskab,21483974,4.0,52063000.0,DKK,2023.0,1,0,28,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SFBK HOLDING ApS,"Sundsholmen 14, 9400 Nørresundby",Aalborg,08.06.2007,Ikke oplyst,Ikke oplyst,Anpartsselskab,30606558,125.0,-78000.0,DKK,2024.0,0,0,28,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LHL Industri ApS,"Møllehøjvej 115, 5792 Årslev",Faaborg-Midtfyn,06.11.2017,2.0,Mikro,Anpartsselskab,39062739,40.0,89000.0,DKK,2023.0,0,0,28,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DAMCOS HOLDING A/S,"Åderupvej 41, 4700 Næstved",Næstved,18.10.2004,Ikke oplyst,Ikke oplyst,Aktieselskab,28127944,61.0,0.0,DKK,2023.0,0,0,28,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
