Juridisk navn,Adresse,Kommune,Startdato,Antal ansatte,Størrelse,Selskabsform,CVR-nr,Selskabskapital,Bruttofortjeneste,Valuta,År for beregning,Kunde,Coating kunde,NACE-2,"Fremstilling af plader, ark, rør og slanger samt profiler af plast",Fremstilling af plastemballage,Fremstilling af andre plastprodukter,Fremstilling og vulkanisering af gummidæk og fremstilling af gummislanger,Forarbejdning og færdigbehandling af plastprodukter,Fremstilling af døre og vinduer af plast,Fremstilling af andre gummiprodukter,Fremstilling af bygningsartikler af plast
FLORACUP A/S,"Nøglegårdsvej 8, 3540 Lynge",Allerød,29.01.1987,1.0,Mikro,Aktieselskab,10571081,500.0,328000.0,DKK,2024.0,0,0,22,,1.0,0.0,0.0,0.0,0.0,0.0,0.0
EUROPLAST VINDUER & DØRE AF 1995 ApS,"Egholmvej 7 C, 9800 Hjørring",Hjørring,23.06.1995,3.0,Mikro,Anpartsselskab,18646978,200.0,891000.0,DKK,2024.0,0,0,22,,0.0,0.0,0.0,0.0,1.0,0.0,0.0
MA PLAST APS,"Hyldekærparken 23, 4000 Roskilde",Roskilde,20.02.2014,2.0,Mikro,Anpartsselskab,35801359,50.0,578000.0,DKK,2024.0,0,0,22,,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Dimsen og Dutten ApS,"Ulspilsager 51, 2791 Dragør",Tårnby,06.07.2021,Ikke oplyst,Ikke oplyst,Anpartsselskab,42528560,40.0,82000.0,DKK,2024.0,0,0,22,,0.0,1.0,0.0,0.0,0.0,0.0,0.0
BN Skilte A/S,"Jomfruløkken 6, 8930 Randers NØ",Randers,30.09.1974,61.0,Mellemstor,Aktieselskab,49907028,500.0,34641000.0,DKK,2024.0,0,0,22,,0.0,1.0,0.0,0.0,0.0,0.0,0.0
MELITEK A/S,"Hartvig Jensensvej 1, 4840 Nørre Alslev",Guldborgsund,22.07.1986,58.0,Mellemstor,Aktieselskab,10309506,1.0,84090000.0,DKK,2024.0,0,0,22,,0.0,1.0,0.0,0.0,0.0,0.0,0.0
SUNDOLITT A/S,"Krog Skolevej 3, 7190 Billund",Billund,10.06.1964,90.0,Mellemstor,Aktieselskab,35909117,50.856,81968000.0,DKK,2023.0,0,0,22,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
PSC A/S,"Industrivej 13, 9700 Brønderslev",Brønderslev-Dronninglund,12.06.1968,22.0,Lille,Aktieselskab,27852610,1.0,14577000.0,DKK,2023.0,0,0,22,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K.L. Plast ApS,"Sorøvej 168, 4173 Fjenneslev",Sorø,26.04.2007,4.0,Mikro,Anpartsselskab,30570006,125.0,986000.0,DKK,2024.0,0,0,22,,1.0,0.0,0.0,0.0,0.0,0.0,0.0
NEOPLAST ApS,"Tingbjergvej 4, 4632 Bjæverskov",Køge,29.04.2010,6.0,Mikro,Anpartsselskab,32886507,80.0,2858000.0,DKK,2024.0,0,0,22,,0.0,0.0,0.0,1.0,0.0,0.0,0.0
INSIGN R & D A/S,"Nørmarkvej 31, 7600 Struer",Struer,01.11.1991,12.0,Lille,Aktieselskab,15552182,500.0,2597000.0,DKK,2024.0,1,0,22,,0.0,1.0,0.0,0.0,0.0,0.0,0.0
PLASTSNEDKEREN SORØ ApS,"Industrivej 11-13, 4180 Sorø",Sorø,21.07.2006,2.0,Mikro,Anpartsselskab,29692084,125.0,-48000.0,DKK,2024.0,0,0,22,,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Freja Invest af 2025 A/S,"Harresvej 16, 5935 Bagenkop",Langeland,09.09.2004,Ikke oplyst,Ikke oplyst,Aktieselskab,28113099,500.0,-298000.0,DKK,2023.0,0,0,22,,0.0,1.0,0.0,0.0,0.0,0.0,0.0
KISO A/S,"Falkevej 9, 4600 Køge",Køge,01.11.1971,41.0,Lille,Aktieselskab,33465718,1.0,14870000.0,DKK,2023.0,1,0,22,,0.0,0.0,0.0,0.0,0.0,1.0,0.0
DANMAT ISO SYSTEMS A/S,"Roskildevej 23, 3650 Ølstykke",Egedal,26.07.1977,18.0,Lille,Aktieselskab,81636419,2.0,13752000.0,DKK,2023.0,1,0,22,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
N.H. EMBALLAGE A/S,"Fromssejervej 20, 6623 Vorbasse",Billund,30.08.2005,10.0,Lille,Aktieselskab,28985207,500.0,9934000.0,DKK,2024.0,0,0,22,,1.0,0.0,0.0,0.0,0.0,0.0,0.0
A6 PLAST A/S,"Dildalvej 9, 3650 Ølstykke",Egedal,11.06.2004,4.0,Mikro,Aktieselskab,27969577,500.0,1814000.0,DKK,2023.0,0,0,22,,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1PLUS ApS,"Gammel Ådalsvej 4, 5250 Odense SV",Odense,29.09.2008,1.0,Mikro,Anpartsselskab,31767865,125.0,565000.0,DKK,2023.0,0,0,22,,1.0,0.0,0.0,0.0,0.0,0.0,0.0
