Juridisk navn,Adresse,Kommune,Startdato,Antal ansatte,Størrelse,Selskabsform,CVR-nr,Selskabskapital,Bruttofortjeneste,Valuta,År for beregning,Kunde,Coating kunde,NACE-2,Fremstilling af råjern og råstål samt jernlegeringer,Fremstilling af stålbånd ved koldvalsning,Støbning af jernprodukter,Støbning af letmetalprodukter,"Fremstilling af rør, hule profiler og tilhørende fittings af stål",Støbning af stålprodukter,Fremstilling af aluminium,"Fremstilling af bly, zink og tin",Støbning af andre ikke-jernholdige metalprodukter,Fremstilling af ædelmetaller,Koldbehandling,Fremstilling af kobber,Fremstilling af tråd ved koldtrækning,Fremstilling af stænger ved koldtrækning
VORSKLA STEEL DENMARK A/S,"Havnevej 31, 3300 Frederiksværk",Halsnæs,02.07.2007,Ikke oplyst,Ikke oplyst,Aktieselskab,30700279,266.903,1051000.0,DKK,2023.0,0,0,24,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ROHER ApS,"Skjoldhøjvej 7, 8471 Sabro",Århus,20.07.2017,Ikke oplyst,Ikke oplyst,Anpartsselskab,38823086,40.0,0.0,DKK,2024.0,0,0,24,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HYDRO PRECISION TUBING TØNDER A/S,"Hydrovej 6, 6270 Tønder",Tønder,12.09.1957,469.0,Stor,Aktieselskab,37488410,35.0,210083000.0,DKK,2023.0,1,1,24,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IPL Production A/S,"Nylandsvej 5, 6940 Lem St",Ringkøbing-Skjern,29.10.2019,82.0,Mellemstor,Aktieselskab,40892222,400.0,14053000.0,DKK,2023.0,0,0,24,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VALD. BIRN A/S,"Frøjkvej 75, 7500 Holstebro",Holstebro,19.07.1941,536.0,Stor,Aktieselskab,26681111,150.0,91421000.0,DKK,2023.0,1,0,24,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Holms Støbeteknik ApS,"Lyngvej 19, 4450 Jyderup",Holbæk,01.06.2023,8.0,Mikro,Anpartsselskab,44098695,40.0,3559000.0,DKK,2023.0,0,0,24,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Dansk Stål & Ventilation ApS,"Bystævnet 11, 5474 Veflinge",Nordfyns,14.09.2007,2.0,Mikro,Anpartsselskab,30920007,125.0,1576000.0,DKK,2023.0,0,0,24,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
ALTORS STÅLDESIGN ApS,"Nordre Kobbelvej 21 B, 7000 Fredericia",Fredericia,13.08.2007,Ikke oplyst,Ikke oplyst,Anpartsselskab,30738705,125.0,171000.0,DKK,2023.0,0,0,24,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FJ INDUSTRIES A/S,"Nyborgvej 27, 5863 Ferritslev Fyn",Faaborg-Midtfyn,18.12.1958,110.0,Mellemstor,Aktieselskab,45737810,1.6,55088000.0,DKK,2024.0,1,1,24,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VILSTRUP SMEDJE A/S,"Sandagervej 2 B, 7100 Vejle",Vejle,26.06.2009,10.0,Lille,Aktieselskab,32285872,500.0,4688000.0,DKK,2024.0,0,0,24,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Constantia Copenhagen ApS,"Vejleåvej 46, 2635 Ishøj",Ishøj,01.08.2002,31.0,Lille,Anpartsselskab,26728142,3.28,36902000.0,DKK,2023.0,0,0,24,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bojes rør og svejs ApS,"Thistedvej 26, 9400 Nørresundby",Aalborg,27.02.2014,1.0,Mikro,Anpartsselskab,35807284,40.0,499000.0,DKK,2024.0,0,0,24,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Grønne-Tage ApS,"Haregabsvej 13, 3230 Græsted",Gribskov,15.04.2021,Ikke oplyst,Ikke oplyst,Anpartsselskab,42330507,40.0,-11000.0,DKK,2024.0,0,0,24,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
