Juridisk navn,Adresse,Kommune,Startdato,Antal ansatte,Størrelse,Selskabsform,CVR-nr,Selskabskapital,Bruttofortjeneste,Valuta,År for beregning,Kunde,Coating kunde,NACE-2,Fremstilling af friske bageriprodukter,Anden forarbejdning og konservering af frugt og grøntsager,"Forarbejdning og konservering af fisk, krebsdyr og bløddyr, undtagen fiskemel",Fremstilling af mejeriprodukter,Fremstilling af færdige foderblandinger til landbrugsdyr,Fremstilling af andre fødevarer i.a.n.,Fremstilling af færdigretter,"Fremstilling af kakao, chokolade og sukkervarer",Fremstilling af kød- og fjerkrækødprodukter,Fremstilling af homogeniserede produkter og diætmad,Fremstilling af stivelse og stivelsesprodukter,Fremstilling af konsumis,Industriel fremstilling af brød og kager mv.,Fremstilling af mølleriprodukter,Fremstilling af olier og fedtstoffer,Forarbejdning af te og kaffe,Forarbejdning af andet kød,Fremstilling af frugt- og grøntsagssaft,Fremstilling af margarine o.lign. spiselige fedtstoffer,Fremstilling af færdige foderblandinger til kæledyr,Fremstilling af smagspræparater og krydderier,Fremstilling af dejprodukter,"Fremstilling af tvebakker, kiks, konserverede kager, tærter mv.",Forarbejdning og konservering af fjerkrækød,Fremstilling af fiskemel,Forarbejdning af svinekød,Forarbejdning og konservering af kartofler,Fremstilling af sukker
Kristians Kaffe ApS,"Oldenvej 43, 3490 Kvistgård",Helsingør,21.11.2017,5.0,Mikro,Anpartsselskab,39117495,50,831000.0,DKK,2023.0,0,0,10,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fra Fejø ApS,"Knuthenlundvej 7, 4952 Stokkemarke",Lolland,15.03.2017,9.0,Mikro,Anpartsselskab,38490486,40,1489000.0,DKK,2023.0,0,0,10,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MARFRESH ApS,"Rødspættevej 9, 9970 Strandby",Frederikshavn,01.03.2014,7.0,Mikro,Anpartsselskab,35681485,50,3308000.0,DKK,2023.0,0,0,10,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chocolates & Treats ApS,"Tofteholmen 60, 2690 Karlslunde",Greve,07.07.2022,Ikke oplyst,Ikke oplyst,Anpartsselskab,43384902,40,42000.0,DKK,2023.0,0,0,10,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
April Coffee Roasters ApS,"Solrød Byvej 15, 2680 Solrød Strand",Solrød,14.10.2016,11.0,Lille,Anpartsselskab,38108646,186,2859000.0,DKK,2023.0,0,0,10,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Østjysk Vildt ApS,"Langballevej 84, 8320 Mårslet",Århus,19.12.2014,1.0,Mikro,Anpartsselskab,36470194,50,-94000.0,DKK,2023.0,0,0,10,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Frontagro.dk ApS,"Jernaldervej 41, 8300 Odder",Odder,05.11.2015,6.0,Mikro,Anpartsselskab,37213594,50,3228000.0,DKK,2024.0,0,0,10,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GANEFRYD DADELKONFEKT ApS,"Klostergade 2, 8000 Aarhus C",Århus,28.01.2015,Ikke oplyst,Ikke oplyst,Anpartsselskab,36507233,50,-59000.0,DKK,2023.0,0,0,10,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sønderhaven Gårdmejeri ApS,"Stadevej 314, 9700 Brønderslev",Brønderslev-Dronninglund,19.12.2022,1.0,Mikro,Anpartsselskab,43724088,500,699000.0,DKK,2023.0,0,0,10,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TobyOne ApS,"Østervang 18, 7160 Tørring",Hedensted,30.05.2018,Ikke oplyst,Ikke oplyst,Anpartsselskab,39606372,40,0.0,DKK,2023.0,0,0,10,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
