Juridisk navn,Adresse,Kommune,Startdato,Antal ansatte,Størrelse,Selskabsform,CVR-nr,Selskabskapital,Bruttofortjeneste,Valuta,År for beregning,Kunde,Coating kunde,NACE-2,Reparation og vedligeholdelse af færdige metalprodukter,Reparation og vedligeholdelse af maskiner,Reparation og vedligeholdelse af elektrisk udstyr,Installation af industrimaskiner og -udstyr,Reparation og vedligeholdelse af civile skibe og både,Reparation og vedligeholdelse af elektronisk og optisk udstyr,Reparation og vedligeholdelse af civile luft- og rumfartøjer,Reparation og vedligeholdelse af andet udstyr,Reparation og vedligeholdelse af andre civile transportmidler,"Reparation og vedligeholdelse af militære kampkøretøjer, skibe, både og luft- og rumfartøjer"
DEPAS - Dansk Energi & Projekt A/S,"Skads Byvej 45 B, 6705 Esbjerg Ø",Esbjerg,02.08.2023,4.0,Mikro,Aktieselskab,44211874,400.0,8567000.0,DKK,2024.0,0,0,33,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Pharma Smeden ApS,"Davrekildevej 4, 4270 Høng",Kalundborg,01.02.2023,Ikke oplyst,Ikke oplyst,Anpartsselskab,43831321,40.0,0.0,DKK,2023.0,0,0,33,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
N.J. MONTAGE ApS,"Kærvangen 7 A, 9560 Hadsund",Mariagerfjord,08.07.2002,1.0,Mikro,Anpartsselskab,26707447,125.0,654000.0,DKK,2024.0,0,0,33,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Yacht Management ApS,"Bistrupvej 164 A, 3460 Birkerød",Rudersdal,01.02.2018,1.0,Mikro,Anpartsselskab,39298465,50.0,663000.0,DKK,2023.0,0,0,33,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
HYDRAULIKBILEN ApS,"Holger Brodthagensvej 4, 4800 Nykøbing F",Guldborgsund,27.06.2008,16.0,Lille,Anpartsselskab,31590787,125.0,9862000.0,DKK,2023.0,0,0,33,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aerfleet ApS,"Coriolisvej 1 1, 6400 Sønderborg",Sønderborg,17.12.2020,3.0,Mikro,Anpartsselskab,41956690,40.0,2414000.0,DKK,2023.0,0,0,33,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
KP Marine ApS,"Slotsherrens Have 39, 2610 Rødovre",Rødovre,09.03.2023,2.0,Mikro,Anpartsselskab,43912925,40.0,7000.0,DKK,2023.0,0,0,33,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
ELTECHNO ApS,"Knøsgårdvej 99 A, 9440 Aabybro",Jammerbugt,28.04.2010,14.0,Lille,Anpartsselskab,32885861,80.0,4890000.0,DKK,2023.0,0,0,33,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
JMS ALARM ApS,"Hassellunden 14-16, 2765 Smørum",Egedal,03.07.2009,9.0,Mikro,Anpartsselskab,32284027,500.0,4314000.0,DKK,2023.0,0,0,33,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SMEDEFIRMAET MOEL ApS,"Oldenvej 3 A, 3490 Kvistgård",Helsingør,27.12.2007,12.0,Lille,Anpartsselskab,31167256,250.0,2975000.0,DKK,2024.0,0,0,33,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
