Juridisk navn,Adresse,Kommune,Startdato,Antal ansatte,Størrelse,Selskabsform,CVR-nr,Selskabskapital,Bruttofortjeneste,Valuta,År for beregning,Kunde,Coating kunde,NACE-2,Fremstilling af andet elektrisk udstyr,"Fremstilling af elektriske motorer, generatorer og transformatorer",Fremstilling af andre elektroniske og elektriske ledninger og kabler,Fremstilling af elektriske fordelings- og kontrolapparater,Fremstilling af belysningsartikler,Fremstilling af tilbehør til ledninger og kabler,Fremstilling af elektriske husholdningsapparater,Fremstilling af ikke-elektriske husholdningsapparater,Fremstilling af batterier og akkumulatorer,Fremstilling af lyslederkabler
Scansupply Batteries ApS,"Topstykket 19, 3460 Birkerød",Rudersdal,15.06.2005,2.0,Mikro,Anpartsselskab,28844417,125.0,16092000.0,DKK,2024.0,0,0,27,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
STEEN LEERBERG HOLDING ApS,"Præstø Overdrev 2, 4720 Præstø",Vordingborg,03.09.2012,Ikke oplyst,Ikke oplyst,Anpartsselskab,34704066,80.0,-33000.0,DKK,2023.0,0,0,27,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
STREJF ApS,"Skovbovænget 72, 3500 Værløse",Furesø,31.08.2007,Ikke oplyst,Ikke oplyst,Anpartsselskab,30820371,125.0,,nan,2023.0,0,0,27,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Hyme Energy ApS,"Titangade 11, 2200 København N",København,09.11.2021,43.0,Lille,Anpartsselskab,42822027,178.0,12039000.0,DKK,2023.0,0,0,27,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
BENTRON POWER ApS,"Dam Enge 1, 3660 Stenløse",Egedal,01.06.1990,Ikke oplyst,Ikke oplyst,Anpartsselskab,14861890,200.0,199000.0,DKK,2024.0,0,0,27,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
ATOZ BATTERY ApS,"Industrivænget 8, 5450 Otterup",Nordfyns,28.02.2006,Ikke oplyst,Ikke oplyst,Anpartsselskab,29404100,125.0,36000.0,DKK,2024.0,0,0,27,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LYNXEO SYSTEMS DENMARK A/S,"Livøvej 37 B, 8800 Viborg",Viborg,27.07.2004,34.0,Lille,Aktieselskab,27985378,3.694,41986000.0,DKK,2023.0,0,0,27,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BACALERT ApS,"Grundtvigs Alle 163, 6400 Sønderborg",Sønderborg,03.04.2017,Ikke oplyst,Ikke oplyst,Anpartsselskab,38542826,40.0,-40000.0,DKK,2023.0,0,0,27,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
CAMTO A/S,"Måløv Værkstedsby 105, 2760 Måløv",Ballerup,19.11.1981,2.0,Mikro,Aktieselskab,60787816,500.0,-389000.0,DKK,2024.0,0,0,27,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
TUNSTALL A/S,"Niels Bohrs Vej 42, 8660 Skanderborg",Skanderborg,01.02.1989,82.0,Mellemstor,Aktieselskab,12852681,2.2,89049000.0,DKK,2024.0,0,0,27,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
